Region,Year,Life_expectancy
Middle East,2015,76.5
European Union,2015,82.8
Rest of Europe,2015,71.2
European Union,2000,71.2
Africa,2015,57.6
Africa,2015,60.9
Africa,2015,76.1
Asia,2000,55.8
Middle East,2015,76.9
Oceania,2000,67.4
Africa,2000,50
Central America and Caribbean,2000,70.7
Africa,2015,65.5
Rest of Europe,2015,82.3
Asia,2015,75.1
Africa,2015,55.4
Africa,2000,53.5
European Union,2000,76.5
Central America and Caribbean,2000,77.5
Africa,2000,45.1
Africa,2015,67.3
European Union,2015,74.5
Africa,2000,44.6
Asia,2015,69.5
Africa,2015,59.3
Africa,2000,68.6
Rest of Europe,2015,73.6
Asia,2000,78
Africa,2015,59.4
Rest of Europe,2015,71.2
Central America and Caribbean,2015,79.6
Africa,2000,51.7
Middle East,2015,82.1
Oceania,2015,81.5
European Union,2000,79.1
Africa,2015,53.1
Oceania,2015,72.2
Africa,2000,50.9
Middle East,2000,70.2
Middle East,2015,69.9
Africa,2015,57
Oceania,2000,67.4
North America,2000,76.6
South America,2000,72.9
Africa,2000,48.1
Asia,2000,67.2
Central America and Caribbean,2015,74.5
Africa,2015,59.6
European Union,2000,79.8
European Union,2015,82.2
Asia,2015,70.8
European Union,2000,78
European Union,2000,70.4
Central America and Caribbean,2000,71.9
Central America and Caribbean,2015,73.2
Africa,2000,57
Africa,2000,60.7
Central America and Caribbean,2000,67.8
North America,2015,74.9
European Union,2000,73.1
European Union,2015,78.6
Africa,2015,60.6
Central America and Caribbean,2015,72.1
Oceania,2015,67.3
South America,2015,75
South America,2015,69.3
Asia,2000,58.4
Asia,2000,81.1
Central America and Caribbean,2000,68.9
Asia,2015,75.9
Africa,2015,64.7
Middle East,2015,75.1
North America,2015,81.9
Central America and Caribbean,2015,72.4
Rest of Europe,2015,78
Africa,2015,51
Middle East,2015,74.7
Asia,2015,68.6
European Union,2015,74.3
Central America and Caribbean,2000,69.4
European Union,2000,77.9
Asia,2015,67.7
Central America and Caribbean,2015,76.5
Africa,2000,49.1
Africa,2015,62
Asia,2015,65.8
Central America and Caribbean,2000,74.1
Africa,2015,74.3
European Union,2015,81.5
Africa,2015,60.1
Africa,2000,55.3
Africa,2015,57.2
European Union,2015,74.6
Africa,2015,52.9
Middle East,2015,69.9
Africa,2000,47.5
Central America and Caribbean,2000,72.6
Oceania,2000,65.7
Central America and Caribbean,2015,72.4
Central America and Caribbean,2015,77.8
South America,2000,62.5
Middle East,2000,69.1
Middle East,2015,74.1
Africa,2015,63.1
Africa,2015,64.9
Africa,2000,57.8
Asia,2015,72.3
Africa,2015,53.1
Asia,2015,76.1
Asia,2000,73.1
Asia,2015,69.1
European Union,2015,81.1
European Union,2000,72
Asia,2015,77.7
Africa,2015,63.5
Central America and Caribbean,2015,72.9
Middle East,2015,77.3
Rest of Europe,2000,67.7
European Union,2000,77.9
Africa,2015,61.4
Middle East,2000,74.4
Middle East,2000,72.6
Asia,2000,65.8
Rest of Europe,2000,74
South America,2000,76.4
Central America and Caribbean,2015,69.4
Middle East,2000,70
Asia,2015,66.6
Rest of Europe,2000,73.2
Central America and Caribbean,2000,73.3
Africa,2015,62.8
European Union,2015,81.5
Asia,2015,63.4
Central America and Caribbean,2015,74
South America,2000,67.8
Asia,2000,73
European Union,2000,71.7
Middle East,2015,78.8
Middle East,2000,74.5
Africa,2000,52.1
European Union,2015,80.8
Central America and Caribbean,2015,74.1
European Union,2015,81
Africa,2015,57.4
Central America and Caribbean,2015,78.8
Oceania,2000,69.7
South America,2000,70.1
Asia,2015,83.8
Rest of Europe,2015,75.4
Africa,2015,75.7
European Union,2015,76.6
Africa,2015,66.7
Africa,2000,68.6
Middle East,2000,72.1
Central America and Caribbean,2015,75.6
South America,2015,76.5
Asia,2015,70.1
Africa,2000,49.6
European Union,2015,81.2
Africa,2000,56
Rest of Europe,2015,71.5
Africa,2000,68.7
Africa,2015,63.1
Africa,2000,51
European Union,2000,78.3
Africa,2015,62.1
Middle East,2000,73.1
Rest of Europe,2000,71.6
Rest of Europe,2000,71.4
European Union,2000,78
Africa,2000,57
Africa,2000,46.2
Africa,2000,39.4
Asia,2000,71.3
Asia,2000,62.8
European Union,2000,77.5
Central America and Caribbean,2000,69.5
Asia,2000,65.5
Asia,2000,62.5
Africa,2015,59.5
European Union,2000,73.7
European Union,2015,81.9
Africa,2015,64.8
Africa,2000,47.7
Rest of Europe,2015,76.4
European Union,2015,81
South America,2015,70.3
European Union,2015,81.5
Asia,2000,62.9
European Union,2000,78.1
European Union,2015,77.3
Africa,2000,50.6
Asia,2015,70.7
Rest of Europe,2015,82.9
Central America and Caribbean,2015,73.3
Middle East,2015,79.8
Africa,2000,58.5
Africa,2015,63.9
South America,2000,71.1
Oceania,2000,64.6
Central America and Caribbean,2000,61.4
European Union,2000,75.4
Rest of Europe,2000,67
Africa,2000,48.6
Middle East,2000,79
Middle East,2015,66.1
Africa,2015,61.7
Asia,2015,72
Africa,2000,71.7
Rest of Europe,2015,75.3
South America,2015,73.7
Africa,2000,51.2
Oceania,2015,67.3
Africa,2000,55.4
Africa,2000,50.5
Rest of Europe,2000,78.6
Middle East,2000,60.7
Rest of Europe,2000,79.7
Central America and Caribbean,2000,57.1
Rest of Europe,2015,76.9
Rest of Europe,2000,72.9
Asia,2015,75.3
Africa,2000,47.7
Rest of Europe,2015,81
Africa,2015,60.6
Rest of Europe,2015,74.5
Africa,2000,50.4
Asia,2015,71.5
Rest of Europe,2000,79.7
Rest of Europe,2000,65.5
Africa,2015,55.9
Middle East,2000,74.3
Asia,2015,70.9
Central America and Caribbean,2000,68.8
South America,2000,74.7
South America,2015,77.4
South America,2000,65.2
Middle East,2000,71.7
European Union,2000,76.3
Oceania,2000,59.3
South America,2015,79.6
European Union,2015,80.6
European Union,2000,79.6
Asia,2000,71.4
Africa,2000,46.5
Africa,2015,62.3
European Union,2015,80.7
Africa,2015,67.5
Africa,2015,74.4
Africa,2000,59.5
Africa,2000,70.9
South America,2000,72.1
Africa,2000,53.3
Africa,2000,56
Asia,2000,68.8
Africa,2000,48.9
Oceania,2015,63.5
Asia,2015,82.7
Asia,2000,70.6
Asia,2000,62.3
Asia,2000,65.4
Middle East,2015,75.8
European Union,2015,77.5
European Union,2015,82.5
Central America and Caribbean,2015,78.6
Asia,2000,62
South America,2015,75.8
Oceania,2015,69.9
Asia,2000,66.8
Africa,2000,44.2
Asia,2015,68.6
European Union,2015,75.6
Asia,2000,60.9
Central America and Caribbean,2000,73.9
Central America and Caribbean,2000,69.4
Africa,2015,50.9
Oceania,2015,82.4
Central America and Caribbean,2000,70.8
Africa,2015,71.3
Africa,2000,44
Rest of Europe,2015,73
Oceania,2000,78.6
Rest of Europe,2000,74.4
Central America and Caribbean,2015,73.1
South America,2015,71.2
European Union,2015,82.3
Africa,2015,72.1
European Union,2000,76.6
North America,2015,78.7
European Union,2000,72.8
South America,2015,76.1
Africa,2000,52.2
Asia,2015,70.4
Asia,2000,70.2
European Union,2015,80.4
Rest of Europe,2000,69.9
European Union,2000,77.7
Africa,2015,72.1
Asia,2015,66.5
Asia,2000,68.6
Rest of Europe,2015,82.5
Africa,2015,59.9
Rest of Europe,2000,77.7
European Union,2015,77.6
Africa,2000,73.2
Asia,2015,70.6
European Union,2015,74.9
Central America and Caribbean,2015,62.5
Oceania,2000,63.1
Oceania,2000,68.7
Africa,2000,46.3
Asia,2000,72.6
European Union,2000,79
Africa,2015,56.1
European Union,2000,71.2
Africa,2000,70.6
Oceania,2000,79.2
South America,2000,70.5
Africa,2000,50.9
Africa,2015,59.9
South America,2015,76.1
South America,2000,72.8
Africa,2000,50.8
European Union,2000,70.3
Oceania,2015,68.5
Oceania,2015,67.1
Africa,2000,72.8
European Union,2000,77.9
North America,2000,79.1
Africa,2015,57.5
Africa,2000,58.3
Oceania,2015,72.7
Central America and Caribbean,2000,76.7
Middle East,2000,77.5
Asia,2015,76.3
Africa,2015,65
European Union,2015,82.3
Central America and Caribbean,2000,75.1
Middle East,2000,73.1
Asia,2015,75.5
Central America and Caribbean,2000,77.2
Oceania,2015,70.5
Africa,2000,51.9
Africa,2015,62.6
Africa,2015,75.9
Asia,2000,63.6
North America,2000,74.3
South America,2015,72.6
European Union,2000,75
Oceania,2000,59
Asia,2000,60.1
Africa,2015,64.1
South America,2000,73.6
Central America and Caribbean,2015,73.6
Middle East,2015,76.8
Asia,2000,58.8
Rest of Europe,2000,68.9
Africa,2000,49.9
